Task Name,Category,Required Skill Level,Recurrence,Description,Urgency
Sweep Curb + Sidewalk,Cleaning,Basic,Daily,General sweeping of sidewalks and curb lines,Low
Vacuum Hallways,Cleaning,Intermediate,Weekly,Vacuum all hallway floors,Medium
Clean Stairwells,Cleaning,Intermediate,Weekly,Mop and disinfect all stairwell surfaces,Medium
Clean Lobby + Elevator,Cleaning,Intermediate,Weekly,"Wipe down lobby glass, elevator doors, and call buttons",Medium
Clean Bathrooms,Cleaning,Intermediate,Weekly,"Disinfect sinks, toilets, and restock supplies",Medium
Power Washing,Maintenance,Intermediate,Monthly,Wash front areas with power washer,Low
Garbage Removal Routine,Sanitation,Basic,Daily,Bring garbage/recycle bins to curb and back,High
Trash Room Area Cleaning,Sanitation,Basic,Weekly,Wipe down bins and floors in trash rooms,Medium
Boiler Blowdown,Plumbing,Advanced,Weekly,Conduct boiler blowdown and log readings,High
Clean Water Filters,Plumbing,Intermediate,Monthly,Replace and clean mechanical water filters,Medium
Refill Water Tank,Plumbing,Intermediate,Monthly,Top off domestic water tanks as needed,Medium
Sidewalk Treepit Maintenance,General Maintenance,Intermediate,Monthly,"Clear treepits of litter, mulch and repaint if needed",Low
Poster Removal / Touchup Painting,General Maintenance,Intermediate,Monthly,Remove illegal postings and repaint walls/doors,Low
Mail Distribution,General Maintenance,Basic,Daily,Deliver mail and packages to tenants or mailroom,Low
Laundry Room Cleaning,Cleaning,Intermediate,Weekly,"Mop floor, wipe surfaces, check lint traps",Low
Sweep Backyard Area,Cleaning,Basic,Weekly,Sweep and tidy rear building lot or yard,Low
Stairwell A + B Cleaning,Cleaning,Intermediate,Weekly,Thorough mop/disinfect stairwells per section,Medium
Water Tank Visual Inspection,Plumbing,Intermediate,Monthly,Log tank water level and check float integrity,Low
Check Rain Gutters & Drainage,Maintenance,Intermediate,Monthly,Clear gutters and downspouts ahead of rain,Medium
Weekly Weather Preparedness Check,Maintenance,Basic,Weekly,"Ensure covers, signage, salt bins, and gear ready",Low
